,Code,Location,City,State,lat,lon
81,25260,"Hanford-Corcoran, CA",Hanford,CA,36.3314,-119.6491
82,41620,"Salt Lake City, UT",Salt Lake City,UT,40.7559,-111.8967
83,42060,"Santa Barbara-Santa Maria-Goleta, CA",Santa Barbara,CA,34.4197,-119.7078
84,42140,"Santa Fe, NM",Santa Fe,NM,35.6975,-105.9821
85,12020,"Athens-Clarke County, GA",Athens,GA,33.9761,-83.3632
86,19100,"Dallas-Fort Worth-Arlington, TX",Dallas,TX,33.1219,-97.0237
87,22500,"Florence, SC",Florence,SC,34.1838,-79.7728
88,25540,"Hartford-West Hartford-East Hartford, CT",Hartford,CT,41.8468,-73.0104
89,30980,"Longview, TX",Longview,TX,32.5178,-94.7303
90,36220,"Odessa, TX",Odessa,TX,31.7652,-102.3543
91,76450,"Norwich-New London, CT-RI",Norwich,CT,41.5371,-72.0849
92,20100,"Dover, DE",Dover,DE,39.1564,-75.4955
93,23580,"Gainesville, GA",Gainesville,GA,34.3073,-83.8256
94,47940,"Waterloo-Cedar Falls, IA",Waterloo,IA,42.4778,-92.3661
95,13380,"Bellingham, WA",Bellingham,WA,48.749,-122.4887
96,31180,"Lubbock, TX",Lubbock,TX,33.5865,-101.8606
97,44060,"Spokane-Spokane Valley, WA",Spokane,WA,47.6665,-117.4365
98,11340,"Anderson, SC",Anderson,SC,34.5261,-82.6304
99,21340,"El Paso, TX",El Paso,TX,31.7584,-106.4783
100,23020,"Fort Walton Beach-Crestview-Destin, FL",Fort Walton Beach,FL,30.4487,-86.6254
101,42020,"San Luis Obispo-Paso Robles, CA",San Luis Obispo,CA,35.2635,-120.6509
102,42540,"Scranton--Wilkes-Barre, PA",Scranton,PA,41.4019,-75.6376
103,46220,"Tuscaloosa, AL",Tuscaloosa,AL,33.1969,-87.5627
104,47220,"Vineland-Bridgeton, NJ",Vineland,NJ,39.4818,-75.0091
105,10420,"Akron, OH",Akron,OH,41.0449,-81.52
106,46540,"Utica-Rome, NY",Utica,NY,43.0871,-75.2315
107,12100,"Atlantic City-Hammonton, NJ",Atlantic City,NJ,39.3642,-74.4233
108,12220,"Auburn-Opelika, AL",Auburn,AL,32.5475,-85.4682
109,22220,"Fayetteville-Springdale-Rogers, AR-MO",Fayetteville,AR,36.052,-94.1534
110,35300,"New Haven-Milford, CT",New Haven,CT,41.3657,-72.9275
111,24780,"Greenville, NC",Greenville,NC,35.5804,-77.3926
112,31540,"Madison, WI",Madison,WI,43.0696,-89.4239
113,36140,"Ocean City, NJ",Ocean City,NJ,39.2709,-74.5875
114,36540,"Omaha-Council Bluffs, NE-IA",Omaha,NE,41.2917,-96.1711
115,76750,"Portland-South Portland, ME",Portland,ME,43.6606,-70.2589
116,13740,"Billings, MT",Billings,MT,45.7745,-108.5005
117,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,IL,42.3247,-87.8564
118,35840,"North-Port-Sarasota-Bradenton, FL",North,FL,25.9449,-80.1391
119,23060,"Fort Wayne, IN",Fort Wayne,IN,41.0938,-85.0707
120,32780,"Medford, OR",Medford,OR,42.2818,-122.9054
121,74500,"Leominster-Fitchburg-Gardner, MA",Leominster,MA,42.5274,-71.7563
122,31420,"Macon, GA",Macon,GA,32.8095,-83.6168
123,44180,"Springfield, MO",Springfield,MO,37.2581,-93.3437
124,12940,"Baton Rouge, LA",Baton Rouge,LA,30.4492,-91.1856
125,27740,"Johnson City, TN",Johnson City,TN,36.3339,-82.3408
126,41940,"San Jose-Sunnyvale-Santa Clara, CA",San Jose,CA,37.3894,-121.8868
